,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184
0,新宿,時間,オープン,店,仕事,帰り道,焼き鳥,提灯,明かり,店,発見,朝,何,腹,邪魔,事,メニュー,焼き鳥,一品,料理,ラインナップ,豊富,注文,日,丁度,冷奴,茄子,揚げ,オーダー,茄子,揚げ,好物,メニュー,必然的,提供,揚げ,茄子,揚げ,茄子,出汁,茄子,安心,焼き鳥,壁,店,焼き,串,ランキング,張り出し,参考,注文,事,皮,ジューシー,脂,感,レバー,臭み,舌触り,旨み,脂,一本,肉,肉,旨み,内容,タレ,卵黄,組み合わせ,抜群,明太,火入れ,明太子,個性,焼き鳥,ランキング,明太,レバー,店,部位,ハズレ,焼き,串,事,全て,個性,的,焼き,加減,ランキング,間違い,黒蜜きなこ,バニラアイス,デザート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,新宿駅,東口,信号,アルタ,方,歌舞伎町一番街,方,歌舞伎町一番街,左,右側,店,オープン,美,桜,鶏,育成,方法,飼料,鶏,健康,第一,オリジナル,ブランド,鶏,産地,山梨県,長野県,静岡県,富士山,系,南アルプス,連峰,大自然,恵み,ストレス,健やか,上記,品,他,手羽先,砂肝,メニュー,阿波尾鶏,ジューシー,旨み,鶏肉,好き,ポン酢,味,阿波尾鶏,徳島県,ブランド,鶏,阿波踊り,阿波尾鶏,料理,時間,注文,際,前半,オーダー,方,メニュー,レバ刺し,新鮮,クセ,レバー,好き,オススメ,数量限定,逸品,鶏ガラ,鶏ガラスープ,マッチ,麺,好き,逸品,麺料理,一種,麺,出汁,奈良県,発祥,郷土料理,デザート,黒蜜,アイス,黒蜜,アイス,絶妙,メニュー,トマト,アボカド,サラダ,トマト,アボカド,ドレッシング,マッチ,逸品,肉,サラダ,感じ,サラダ,オーダー,ドリンク,生ビール,ハイボール,何,杯,生ビール,ハイボール,飲み過ぎ,気,営業,時間,鶏,料理,好き,オススメ,店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,新宿,西武新宿線,新宿駅,近く,鳥,京,平日,土日,オープン,店,時間,扉,オープン,雰囲気,買い物,後,焼鳥,生ビール,季節,テーブル席,カウンター,席,テレビ,時間帯,情報番組,野球中継,一杯,乙,一人,サマ,オーダー,店,方,対面,式,最近,タッチパネル,人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,立川駅,菊松,食堂,価値,菊松,食堂,土曜日,オープン,同時,来店,店内,程,人,人気,店,菊松,食堂,店内,女の子,同士,年配,人,若者,店,証し,メニュー,本格,炭火,焼,干物,種類,フライ,ステーキ,料理,写真,手,料理,料理,時間,店,アジ,フライ,カキフライ,唐揚げ,本格,炭火,焼,干物,〆さば,タコ,ステーキ,卵,サラダ,アイス,白子,馬刺し,エンガワ,ユッケ,グラタン,コロッケ,栃尾,揚げ,イカ,ゴロ,焼き,モツ煮,枝豆,全部,本格,炭火,焼,干物,魚,関係,料理,久しぶり,料理,手抜き,盛り,付け,食用,タンポポ,フライ,タルタルソース,ツナ,料理,手抜き,一切,菊松,食堂,立川,ランチ,本格,炭火,焼,干物,今度,ランチ,本格,炭火,焼,干物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,立川駅,北口,モノレール,伊勢丹,立川,店,立川,高島屋,遊歩道,立川,ステージ,ガーデン,ソラノホテル,商業施設,オフィス,等,構成,複合施設,モノレール,向かい側,建物,階,位置,菊松,食堂,隣,菊松,食堂,メイン,店内,週末,土曜日,天気,ランチ,オープン,テラス,店頭,メニュー,他,店舗,リーズナブル,菊松,食堂,チョイス,広島,産,大粒,カキフライ,定食,鶏,竜田揚げ,定食,オーダー,味,普通,テラス,席,陽気,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,愛,休日,グリーンスプリングス,前,菊松,食堂,奥様,先日,寄り,アダムス,オーサム,パイ,今週,ハコヅメ,店,合コン,シーン,向かい,グリスプ,デートシーン,来週,菊松,食堂,奥様,何,度,食べに,様子,私,定食,モード,時,満席,テラス,席,愛犬,食べに,来,発見,愛犬,席,店内,間,カツカレー,他所,テーブル,久方ぶり,豚キムチ,定食,奥様,事,個,定食,発注,武蔵村山,下田,畜産,厳選,豚肉,使用,次回,是非,野球,事,共用,頭皮マッサージ,ャー,事,話,注文,品々,写真,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,下北沢カレーフェスティバル,軒,目,カレー,軒,食,濃厚,海老,バターカレーハーフサイズ,少なめ,バター,カレー,海老,風味,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,カフェ,時間帯,来店,メニュー,一杯,目,モヒート,モヒート,コーヒー,店,午前11時,半,翌朝,昼飲み,良さ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,マンゴー,ケーキ,注文,小さめ,ケーキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,新宿駅,新宿三丁目駅,間,居酒屋,密集,エリア,店内,室,個室,今,時期,他,接触,安心,トイレ,時,要注意,レンゲ,豆腐,種,トマト,味,変化,手,手軽,盛り合わせ,マグロ,サーモン,カツオ,鯛,盛り,肉,厚,大ぶり,切れ,人前,脂,焼き鳥,盛り合わせ,タレ,味,種,タレ,野菜,焼き鳥,盛り合わせ,塩味,種,塩味,白子,焼き,塩気,酒のつまみ,タコ,唐揚げ,醤油,ニンニク,レモン,手羽先,味,外側,パリ,中,プリッ,手頃,価格,量,若者,人気,店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
